id,name,host_name,host_is_superhost,host_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
36243257,"2 Bedroom Luxury Condo,  980sq feet",Murray & Harry,t,1,Cabbagetown,43.66599,-79.37687,Condominium,Entire home/apt,6,2,2,3,Real Bed,142,289,,,,,,,
36243740,home sweet home,Tim,f,5,Parkwoods,43.74902,-79.3212,Villa,Private room,4,3.5,1,2,Real Bed,64,354,73,8,9,9,10,9,7
36244275,Newly-renovated basement suite near downtown,Samuel & Onye,f,1,Woodbine/Lumsden,43.69394,-79.31194,Guest suite,Entire home/apt,4,1,1,2,Real Bed,109,48,100,10,10,10,10,10,10
36244841,House Near Pearson Airport & Humber College,Rupinder,f,5,Mount Olive,43.73754,-79.58434,House,Private room,2,1.5,1,1,Real Bed,54,158,100,10,10,10,10,8,10
36261981,Beautiful Apartment Room,Kat,f,1,Downtown Toronto,43.65571,-79.39217,Condominium,Private room,1,1,1,1,Real Bed,40,1,,,,,,,
36262039,Hillside Home,Melody,f,3,Downtown Toronto,43.66512,-79.35994,House,Entire home/apt,8,2,3,3,Real Bed,499,324,,,,,,,
36263228,Hotel 89 Downtown Toronto - Double Bed Room,Tim,f,0,Yorkville,43.67288,-79.39584,Serviced apartment,Private room,4,1,1,2,Real Bed,169,53,,,,,,,
36263638,Unique Loft-House on Queen West,Julie,f,1,Parkdale,43.63941,-79.43346,Loft,Entire home/apt,4,2,2,2,Real Bed,299,0,,,,,,,
36264235,Nice bedroom with self bathroom and walkout deck,Cherry✨,f,3,Don Valley Village,43.79434,-79.34758,House,Private room,1,1.5,1,1,Real Bed,100,364,,,,,,,
36264936,Beautiful Apartment next to Spadina Station,Jaden,f,1,Downtown Toronto,43.66651,-79.40472,Apartment,Entire home/apt,3,1,1,1,Real Bed,150,75,100,9,10,10,10,10,9
36265232,BRAND NEW CONDO SUPER VIEW 2BDRMS+2BATHS,Summer,f,3,Davisville,43.7078,-79.39812,Condominium,Entire home/apt,4,2,2,2,Real Bed,110,0,80,9,8,9,8,9,9
36265233,BRAND NEW LUXURY CONDO SUPER VIEW 2BMS+ 2 BATHS,Summer,f,3,Davisville,43.7079,-79.39731,Condominium,Entire home/apt,4,2,2,2,Real Bed,148,0,,,,,,,
36266675,Spacious 2-floor gem with patio in trendy west end,Angelo & Sonya,f,1,Dufferin Grove,43.65336,-79.43554,House,Entire home/apt,5,2,2,2,Real Bed,150,36,93,10,9,10,10,9,9
36266956,Superior HighRise Condo in Upscale  Yorkville Ave,Kev,f,33,Yorkville,43.67075,-79.39314,Condominium,Entire home/apt,6,1,2,3,Real Bed,160,39,,,,,,,
36267501,Executive 2 Bedroom Apartment in the Kingsway!,Sarah,f,2,The Kingsway,43.66098,-79.50989,Apartment,Entire home/apt,7,1,2,2,Real Bed,300,352,,,,,,,
36268159,Private room (Marigold) in cozy home,Tung,f,3,Richview,43.68338,-79.55339,House,Private room,2,2,1,1,Real Bed,65,40,95,10,10,10,10,10,10
36268856,Private bedroom (Sakura) in a cozy home,Tung,f,3,Richview,43.68229,-79.55368,House,Private room,2,2,1,1,Real Bed,54,25,90,10,10,10,10,10,10
36270155,Bed and Bath in Toronto,Thaven,f,1,York University Heights,43.74649,-79.49767,Guest suite,Entire home/apt,4,1,1,2,Real Bed,89,342,70,8,9,10,9,9,8
36272374,15 Greenview Ave,Mary,f,6,Newtonbrook,43.78078,-79.41927,Serviced apartment,Entire home/apt,3,2,3,3,Real Bed,130,342,,,,,,,
36273670,Clean Comfy Quiet private room downtown Toronto,Wincent & Linh,f,0,Riverdale,43.66088,-79.35136,House,Private room,2,1,1,1,Real Bed,80,137,,,,,,,
36275900,Downtown Modern 2 Bedroom Basement Studio,Wincent & Linh,f,0,Riverdale,43.6627,-79.35294,House,Entire home/apt,3,1,2,2,Real Bed,119,36,97,10,10,10,10,10,10
36276467,Cozy guestroom3,Genny,t,3,Eringate,43.66381,-79.58167,House,Private room,2,1,1,1,Real Bed,50,100,100,10,10,10,10,10,10
36277164,Entire walk-out basement apartment near subway,Noha,f,1,Oakridge,43.69309,-79.28615,House,Entire home/apt,2,1,1,1,Real Bed,70,1,100,10,10,10,10,10,10
36277203,Beautiful Luxury Suite w/Parking in Prime Area,Kokulan,f,1,Scarborough City Centre,43.77219,-79.25585,Condominium,Entire home/apt,3,1,1,2,Real Bed,159,63,100,10,10,10,10,10,10
36278505,"Urban Travellers Paradise Boutique LOFT, Queen W.",Shalini,f,6,Downtown Toronto,43.64688,-79.40232,Condominium,Entire home/apt,4,1,1,2,Real Bed,97,142,100,10,10,10,10,10,10
36278917,Modern Condo in DT Toronto with Lakeview + Parking,Michael & Ashen,f,1,Niagara,43.63802,-79.40492,Condominium,Entire home/apt,4,1,1,2,Real Bed,180,127,100,10,10,10,10,10,10
36278969,Stylist Waterfront View - 2 BDRM + Sofabed - MTCC,Ben & Paula,f,6,Downtown Toronto,43.64143,-79.38014,Condominium,Entire home/apt,6,1,2,3,Real Bed,135,92,,,,,,,
36279533,"very spacious room, nice view",Marinelle,f,1,Westminster/Branson,43.77122,-79.453,Apartment,Private room,2,1,1,1,Real Bed,31,171,,,,,,,
36279559,Four bedrooms 2 storey entire house east Toronto,Jenny,f,3,Port Union,43.79048,-79.143,House,Entire home/apt,8,3.5,4,0,Real Bed,226,356,,,,,,,
36280796,Vegetarian Home in Green & Serene Neighbourhood,Sha,f,1,Agincourt,43.81159,-79.28422,House,Private room,2,2,1,2,Real Bed,32,11,,,,,,,
36280853,Stunning Luxury Condo in the heart of Toronto,Shahrzad,f,1,Downtown Toronto,43.66914,-79.38313,Condominium,Entire home/apt,5,1,2,5,Real Bed,249,262,100,9,10,10,10,10,10
36281054,Condo steps away from CN Tower and Rogers center,Tunwa,f,0,Downtown Toronto,43.64196,-79.39287,Condominium,Entire home/apt,5,1.5,2,2,Real Bed,200,76,100,10,9,10,10,10,9
36281773,Boutique style luxury Condo @Yorkville Toronto,Nima & Saba,f,1,Yorkville,43.67144,-79.39473,Condominium,Entire home/apt,3,1,1,2,Real Bed,180,147,98,10,10,10,10,10,10
36282031,Luxury Suite With Patio View,Bao ZuPo,f,5,Willowdale,43.76081,-79.40949,Condominium,Entire home/apt,5,2,2,2,Real Bed,180,131,100,9,9,8,10,9,9
